sn,species,lab_no,sex,pref_age,pref_status,blank_space,postf_age,postf_status,blanck,ageC,statusC,blanck,year,nest_ID,lay_date,Chick_trivial_ID,Ring_ID,site,Relative_hatch_order,hatch_order,age_diff,clutch_size,brood_size,No_fledgelings,Fledged?,Fledge_age,Fledge_mass,Fledge_tarsus,Fledge_FS,Fledge_FSO,blanck,ID_Bio_mom,ID_Bio_dad,paternity_text,paternity,Fledged,got_sender,Excluded_from_sendered,Last_recorded_age_days,Final_status,Details_about_final_status,Issues
289,BC,CW13_365,M,12,1,,NA,NA,,12,1,,2011,2011_48,116,"ri 2,3",,Kapunga,1,4,3,4,4,0,No,NA,NA,NA,NA,NA,,BC#29,BC*48,WPO,0,No,No,,12,dead,,
290,BC,CW13_366,F,13,1,,NA,NA,,13,1,,2011,2011_48,116,"le 1,4",,Kapunga,0.8,3,2,4,4,0,No,NA,NA,NA,NA,NA,,BC#29,BC*48,WPO,0,No,No,,13,dead,,
291,BC,CW13_367,F,14,1,,NA,NA,,14,1,,2011,2011_48,116,"le 2,3",,Kapunga,0.4,2,1,4,4,0,No,NA,NA,NA,NA,NA,,BC#29,BC*48,WPO,0,No,No,,14,dead,,
292,BC,CW13_369,M,12,0,,NA,NA,,12,0,,2011,2011_49,119,"ri 2,3",,Kapunga,0.4,2,1,4,4,4,Yes,12,50,23.6,24,0,,BC#27,BC*49,WPO,0,Yes,No,,12,Censored,,
293,BC,CW13_370,F,13,0,,NA,NA,,13,0,,2011,2011_49,119,"le 1,4",,Kapunga,0.2,1,0,4,4,4,Yes,13,66,26.5,27,0,,BC#27,BC*49,WPO,0,Yes,No,,13,Censored,,
294,BC,CW13_371,M,12,0,,NA,NA,,12,0,,2011,2011_49,119,"ri 1,4",,Kapunga,0.8,3,2,4,4,4,Yes,12,46.5,23.2,19,0,,BC#27,BC*49,WPO,0,Yes,No,,12,Censored,,
295,BC,CW13_372,F,13,0,,NA,NA,,13,0,,2011,2011_49,119,"le 2,3",,Kapunga,1,4,3,4,4,4,Yes,13,62,26.4,25,0,,BC#27,BC*49,WPO,0,Yes,No,,13,Censored,,
296,BC,CW13_377,F,13,0,,NA,NA,,13,0,,2011,2011_52,125,"ri 1,4",,Kapunga,0.6,2,1,3,3,3,Yes,13,87.5,31.3,40,14,,BC#30,BC*50,WPO,0,Yes,No,,13,Censored,,
297,BC,CW13_378,F,13,0,,NA,NA,,13,0,,2011,2011_52,125,"le 2,3",,Kapunga,1,3,2,3,3,3,Yes,13,83,30.7,41,8,,BC#30,BC*50,WPO,0,Yes,No,,13,Censored,,
298,BC,CW13_379,M,12,0,,NA,NA,,12,0,,2011,2011_52,125,"ri 2,3",,Kapunga,0.2,1,0,3,3,3,Yes,12,68.5,31.6,50,22,,BC#30,BC*50,WPO,0,Yes,No,,12,Censored,,
299,BC,CW13_430,M,12,0,,NA,NA,,12,0,,2012,2012_18,38,"le 2,3",,Kapunga,0.2,1,0,4,3,3,Yes,12,75,30.6,38,14,,CW13_517,BC*34,WPO,0,Yes,No,,12,Censored,,
300,BC,CW13_431,M,12,0,,NA,NA,,12,0,,2012,2012_18,38,"ri 1,4",,Kapunga,0.8,3,2,4,3,3,Yes,12,73.5,29.4,38,19,,CW13_517,CW13_187,EPO,1,Yes,No,,12,Censored,,
301,BC,CW13_432,F,13,0,,NA,NA,,13,0,,2012,2012_18,38,"le 1,4",,Kapunga,0.4,2,1,4,3,3,Yes,13,88,28.5,34,0,,CW13_517,BC*34,WPO,0,Yes,No,,13,Censored,,
302,BC,CW13_455,M,12,0,,NA,NA,,12,0,,2012,2012_27,64,"ri 2,3",,Kapunga,0.2,1,0,4,2,2,Yes,12,65,29.2,41,4,,CW13_517,CW13_537,EPO,1,Yes,No,,12,Censored,,
303,BC,CW13_459,F,13,0,,NA,NA,,13,0,,2012,2012_27,64,"le 2,3",,Kapunga,0.4,2,2,4,2,2,Yes,13,73,24.4,24,0,,CW13_517,BC*51,WPO,0,Yes,No,,13,Censored,,
304,BC,CW13_477,F,15,0,,NA,NA,,15,0,,2012,2012_31,79,"ri 2,3",,Kapunga,0.2,1,0,6,5,4,Yes,15,65.5,30.2,39,12,,CW13_515,BC*52,EPO,1,Yes,No,,15,Censored,,
305,BC,CW13_478,F,13,0,,NA,NA,,13,0,,2012,2012_31,79,"le 2,3",,Kapunga,0.4,2,0,6,5,4,Yes,13,64.5,27.3,30,1,,CW13_515,CW13_531,WPO,0,Yes,No,,13,Censored,,
306,BC,CW13_479,M,14,0,,NA,NA,,14,0,,2012,2012_31,79,"ri 1,4",,Kapunga,0.6,3,1,6,5,4,Yes,14,54.5,28.5,35,9,,CW13_515,BC*52,EPO,1,Yes,No,,14,Censored,,
307,BC,CW13_482,M,13,0,,NA,NA,,13,0,,2012,2012_31,79,"ri 1,2,3,4",,Kapunga,0.8,4,2,6,5,4,Yes,13,33,21.5,16,0,,CW13_515,CW13_531,WPO,0,Yes,No,,13,Censored,,
308,BC,CW13_454,M,12,0,,NA,NA,,12,0,,2012,2012_37,64,"ri 1,4",,Kapunga,0.8,3,2,4,3,3,Yes,12,86.5,30,31,0,,CW13_527,BC*53,WPO,0,Yes,No,,12,Censored,,
309,BC,CW13_456,F,11,0,,NA,NA,,11,0,,2012,2012_37,64,"le 2,3",,Kapunga,0.4,2,1,4,3,3,Yes,11,82.5,27.3,26,0,,CW13_527,BC*53,WPO,0,Yes,No,,11,Censored,,
310,BC,CW13_457,F,12,0,,NA,NA,,12,0,,2012,2012_37,64,"ri 2,3",,Kapunga,0.2,1,0,4,3,3,Yes,12,78.5,29.5,33,0,,CW13_527,BC*53,WPO,0,Yes,No,,12,Censored,,
311,BC,CW13_487,F,12,0,,NA,NA,,12,0,,2012,2012_45,94,"le 2,3",,Kapunga,0.2,1,0,3,3,2,Yes,12,74,27.8,24,0,,CW13_527,CW13_534,WPO,0,Yes,No,,12,Censored,,
312,BC,CW13_488,F,11,0,,NA,NA,,11,0,,2012,2012_45,94,"ri 1,4",,Kapunga,0.6,2,1,3,3,2,Yes,11,59,24,17,0,,CW13_527,CW13_534,WPO,0,Yes,No,,11,Censored,,
313,BC,CW13_489,M,10,1,,NA,NA,,10,1,,2012,2012_45,94,"ri 2,3",,Kapunga,1,3,2,3,3,2,No,NA,NA,NA,NA,NA,,CW13_527,CW13_534,WPO,0,No,No,,10,dead,,
314,BC,CW13_484,M,14,0,,NA,NA,,14,0,,2012,2012_50,88,"ri 2,3",,Kapunga,0.6,2,0,3,3,3,Yes,14,66,27.7,37,6,,CW13_530,CW13_532,WPO,0,Yes,No,,14,Censored,,
315,BC,CW13_485,F,14,0,,NA,NA,,14,0,,2012,2012_50,88,"ri 1,4",,Kapunga,0.2,1,0,3,3,3,Yes,14,78,30.1,35,8,,CW13_530,CW13_532,WPO,0,Yes,No,,14,Censored,,
316,BC,CW13_486,M,14,0,,NA,NA,,14,0,,2012,2012_50,88,"le 2,3",,Kapunga,1,3,1,3,3,3,Yes,14,48,25.2,28,4,,CW13_530,CW13_532,WPO,0,Yes,No,,14,Censored,,
317,BC,CW13_496,F,13,0,,NA,NA,,13,0,,2012,2012_59,97,NA,GN 27281,Kapunga,0.6,2,1,3,2,1,Yes,13,82,31.7,37,6,,CW13_517,CW13_537,WPO,0,Yes,No,,13,Censored,,
318,BC,CW13_510,F,13,0,,NA,NA,,13,0,,2012,2012_65,126,NA,GN 27300,Kapunga,0.4,2,0,4,3,3,Yes,13,90,32,47,14,,CW13_539,BC*54,WPO,0,Yes,No,,13,Censored,,
319,BC,CW13_508,F,13,0,,NA,NA,,13,0,,2012,2012_65,126,NA,GN 27298,Kapunga,0.2,1,0,4,3,3,Yes,13,102,32.5,45,7,,CW13_539,BC*54,WPO,0,Yes,No,,13,Censored,,
320,BC,CW13_509,F,13,0,,NA,NA,,13,0,,2012,2012_65,126,NA,GN 27299,Kapunga,0.8,3,4,4,3,3,Yes,13,81,30.1,43,13,,CW13_539,BC*54,WPO,0,Yes,No,,13,Censored,,
321,BC,CW13_511,M,12,0,,NA,NA,,15,0,,2012,GN_56902,140,GN 56902,GN 56902,Kapunga,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,,BC#31,BC*55,WPO,0,Yes,No,,90,Censored,,Possibly adult? 
322,BC,CW13_512,F,13,0,,NA,NA,,15,0,,2012,GN_56903,140,GN 56903,GN 56903,Kapunga,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,,BC#32,BC*38,WPO,0,Yes,No,,90,Censored,,Possibly adult? 
323,BC,CW13_556,F,15,0,,NA,NA,,15,0,,2013,2013_13,67,"ri 2,3",,Kapunga,0.4,2,1,4,4,3,Yes,15,81,29.5,40,6,,CW13_601,CW13_600,WPO,0,Yes,No,,15,Censored,,
324,BC,CW13_557,F,16,0,,NA,NA,,16,0,,2013,2013_13,67,"le 2,3",,Kapunga,0.2,1,0,4,4,3,Yes,16,85,30.7,46,16,,CW13_601,CW13_600,WPO,0,Yes,No,,16,Censored,,
325,BC,CW13_558,F,16,0,,NA,NA,,16,0,,2013,2013_13,67,"ri 1,4",,Kapunga,0.8,3,2,4,4,3,Yes,16,85,31,46,18,,CW13_601,CW13_600,WPO,0,Yes,No,,16,Censored,,
326,BC,CW13_581,F,15,0,,NA,NA,,15,0,,2013,2013_23,112,"le 2,3",,Kapunga,1,4,4,4,4,4,Yes,15,78.5,28.7,51,5,,CW13_609,CW13_617,WPO,0,Yes,No,,15,Censored,,
327,BC,CW13_582,M,15,0,,NA,NA,,15,0,,2013,2013_23,112,"le 1,4",,Kapunga,0.2,1,0,4,4,4,Yes,15,65,29.4,36,0,,CW13_609,CW13_617,WPO,0,Yes,No,,15,Censored,,
328,BC,CW13_583,F,14,0,,NA,NA,,14,0,,2013,2013_23,112,"ri 1,4",,Kapunga,0.4,2,1,4,4,4,Yes,14,79,28.9,34,0,,CW13_609,CW13_617,WPO,0,Yes,No,,14,Censored,,
329,BC,CW13_584,M,15,0,,NA,NA,,15,0,,2013,2013_23,112,"ri 2,3",,Kapunga,0.8,3,2,4,4,4,Yes,15,67.5,30.2,33,0,,CW13_609,CW13_617,WPO,0,Yes,No,,15,Censored,,
330,BC,CW13_585,F,14,0,,NA,NA,,14,0,,2013,2013_26,124,"le 1,4",GN 56964,Kapunga,0.4,2,1,4,3,2,Yes,14,78.5,28.9,29,2,,CW13_610,BC*56,WPO,0,Yes,No,,14,Censored,,
331,BC,CW13_586,F,15,0,,NA,NA,,15,0,,2013,2013_26,124,"ri 1,4",GN 56963,Kapunga,0.2,1,0,4,3,2,Yes,15,85.5,29.4,44,12,,CW13_610,BC*56,WPO,0,Yes,No,,15,Censored,,
332,BC,CW13_587,F,12,0,,NA,NA,,12,0,,2013,2013_28,122,"ri 2,3",,Kapunga,0.2,1,0,4,4,3,Yes,12,84,30.8,36,3,,CW13_604,BC*57,WPO,0,Yes,No,,12,Censored,,
333,BC,CW13_588,F,12,0,,NA,NA,,12,0,,2013,2013_28,122,"le 2,3",,Kapunga,0.8,3,2,4,4,3,Yes,12,89,30.5,38,0,,CW13_604,BC*57,WPO,0,Yes,No,,12,Censored,,
334,BC,CW13_589,M,9,0,,NA,NA,,9,0,,2013,2013_28,122,"ri 1,4",,Kapunga,0.4,2,1,4,4,3,Yes,9,69.7,26.3,26,0,,CW13_604,BC*57,WPO,0,Yes,No,,9,Censored,,
335,BC,CW14_031,M,16,0,,83,0,,83,0,,2014,2014_03,33,"ri 2,3",GN 56992,Kapunga,0.4,2,0,4,4,4,Yes,16,71,32.2,45,15,,CW14_145,CW14_148,WPO,0,Yes,Yes,,83,Censored,Posibly alive but sender battery got empty.,
336,BC,CW14_032,M,12,0,,67,0,,67,0,,2014,2014_03,33,"le 2,3",GN 56994,Kapunga,0.2,1,0,4,4,4,Yes,12,65.5,29,35,7,,CW14_145,CW14_148,WPO,0,Yes,Yes,,67,Censored,Posibly alive but sender battery got empty.,
337,BC,CW14_033,M,16,0,,94,0,,94,0,,2014,2014_03,33,"le 1,4",GN 56993,Kapunga,0.8,3,2,4,4,4,Yes,16,76,30.2,36,11,,CW14_145,CW14_148,WPO,0,Yes,Yes,,94,Censored,Posibly alive but sender battery got empty.,
338,BC,CW14_034,F,16,0,,32,0,,32,0,,2014,2014_03,33,"ri 1,4",GN 76605,Kapunga,1,4,2,4,4,4,Yes,16,81,28.3,22,0,,CW14_145,CW14_152,EPO,1,Yes,Yes,,32,Censored,Possibly moved to another area or got predated and sender destroyed. No signal since 25/4/2014 until end of season.,
339,BC,CW14_045,M,11,0,,NA,NA,,11,0,,2014,2014_07,43,"ri 2,3",GN 76616,Kapunga,0.2,1,0,4,1,1,Yes,13,75,28.7,33,0,,BC#33,BC*58,WPO,0,Yes,No,,11,Censored,Juvenile feldged but did not get sender.,
340,BC,CW14_042,M,11,0,,NA,NA,,11,0,,2014,2014_13,41,"ri 1,4",GN 57000,Kapunga,0.8,3,2,4,4,3,Yes,11,70,25.4,20,0,,CW14_139,CW14_157,WPO,0,Yes,Yes_but_exclude,Lost sender in the nest,11,Censored,Lost sender in the nest when fledging.,
341,BC,CW14_043,M,13,0,,65,0,,65,0,,2014,2014_13,41,"le 2,3",GN 56999,Kapunga,0.4,2,1,4,4,3,Yes,13,66,29.3,38,0,,CW14_139,CW14_157,WPO,0,Yes,Yes,,65,Censored,Most likely that the juvenile survived but sender battery got empty.,
342,BC,CW14_044,F,13,0,,79,0,,79,0,,2014,2014_13,41,"ri 2,3",GN 56997,Kapunga,0.2,1,0,4,4,3,Yes,13,79,31.4,36,0,,CW14_139,CW14_157,WPO,0,Yes,Yes,,79,Censored,Most likely that the juvenile survived but sender battery got empty.,
343,BC,CW14_036,F,13,0,,87,0,,87,0,,2014,2014_16,43,"ri 1,4",GN 56986,Kapunga,0.2,1,0,4,3,3,Yes,13,74,31,37,0,,CW14_146,CW14_149,WPO,0,Yes,Yes,,87,Censored,Posibly alive but sender battery got empty.,
344,BC,CW14_037,F,12,0,,48,0,,48,0,,2014,2014_16,43,"le 1,4",GN 56991,Kapunga,0.4,2,1,4,3,3,Yes,12,70.5,28.5,32,0,,CW14_146,CW14_151,EPO,1,Yes,Yes,,48,Censored,Possibly sender battery got empty early or juvenile left the area. Signal was getting weak before going off and was coming far from NW.,Similar ring number?
345,BC,CW14_038,M,11,0,,NA,NA,,11,0,,2014,2014_16,43,"ri 2,3",GN 56990,Kapunga,0.8,3,2,4,3,3,Yes,11,52,25.8,32,0,,CW14_146,CW14_149,WPO,0,Yes,No,,11,Censored,"Fledged but did not get sender. Possibly it survived, it is reported that the soc father LBAB was seen on 26 March feeding a juvenile without sender, most likely it was this one.",
346,BC,CW14_057,F,12,1,,NA,NA,,12,1,,2014,2014_17,56,"le 2,3",GN 76628,Kapunga,0.6,3,0,5,5,0,No,NA,NA,NA,NA,NA,,CW14_146,CW14_147,WPO,0,No,Yes_but_exclude,Predated in the nest,12,Dead,"Predated at the nest before fledging, nest destroyed. Weak signal obtained from the senderes but dissaperared later.",
347,BC,CW14_058,F,12,1,,NA,NA,,12,1,,2014,2014_17,56,"ri 2,3",GN 76629,Kapunga,0.4,2,0,5,5,0,No,NA,NA,NA,NA,NA,,CW14_146,CW14_147,WPO,0,No,Yes_but_exclude,Predated in the nest,12,Dead,"Predated at the nest before fledging, nest destroyed. Weak signal obtained from the senderes but dissaperared later.",
348,BC,CW14_059,M,12,1,,NA,NA,,12,1,,2014,2014_17,56,"ri 1,4",GN 76630,Kapunga,0.2,1,0,5,5,0,No,NA,NA,NA,NA,NA,,CW14_146,CW14_147,WPO,0,No,Yes_but_exclude,Predated in the nest,12,Dead,"Predated at the nest before fledging, nest destroyed. Weak signal obtained from the senderes but dissaperared later.",
349,BC,CW14_060,F,10,1,,NA,NA,,10,1,,2014,2014_17,56,"le 1,4",NA,Kapunga,0.8,4,2,5,5,0,No,NA,NA,NA,NA,NA,,CW14_146,CW14_151,EPO,1,No,No,,10,Dead,"Predated at the nest before fledging, nest destroyed. Weak signal obtained from the senderes but dissaperared later.",
350,BC,CW14_070,F,12,0,,NA,NA,,12,0,,2014,2014_18,32,"ri 2,3",GN 76637,Kapunga,0.6,2,1,3,2,2,Yes,12,62.5,26.4,26,0,,BC#33,BC*60,EPO,1,Yes,No,,12,Censored,Fledged but did not get sender. ,
351,BC,CW14_071,F,14,0,,NA,NA,,14,0,,2014,2014_18,32,"le 2,3",GN 76631,Kapunga,0.2,1,0,3,2,2,Yes,13,81,28.9,31,0,,BC#33,BC*61,WPO,0,Yes,No,,14,Censored,Fledged but did not get sender. ,
352,BC,CW14_066,F,10,1,,NA,NA,,10,1,,2014,2014_20,59,"ri 2,3",NA,Kapunga,0.2,1,0,6,5,0,No,NA,NA,NA,NA,NA,,CW14_141,CW14_142,WPO,0,No,No,,10,Dead,Predated at the nest before fledging; predator not specified.,
353,BC,CW14_067,M,9,1,,NA,NA,,9,1,,2014,2014_20,59,"ri 1,4",NA,Kapunga,0.6,3,1,6,5,0,No,NA,NA,NA,NA,NA,,CW14_141,CW14_142,WPO,0,No,No,,9,Dead,Predated at the nest before fledging; predator not specified.,
354,BC,CW14_068,M,9,1,,NA,NA,,9,1,,2014,2014_20,59,"le 2,3",NA,Kapunga,0.4,2,1,6,5,0,No,NA,NA,NA,NA,NA,,CW14_141,CW14_142,WPO,0,No,No,,9,Dead,Predated at the nest before fledging; predator not specified.,
355,BC,CW14_069,M,6,1,,NA,NA,,6,1,,2014,2014_20,59,"ri 1,2,3,4",NA,Kapunga,1,5,3,6,5,0,No,NA,NA,NA,NA,NA,,CW14_141,CW14_142,WPO,0,NO,No,,6,Dead,Predated at the nest before fledging; predator not specified.,
356,BC,CW14_039,M,15,0,,89,0,,89,0,,2014,2014_21,37,,GN 56987,Kapunga,0.2,1,0,4,3,3,Yes,13,75.5,29.8,40,12,,CW14_143,CW14_150,WPO,0,Yes,Yes,,89,Censored,Posibly alive but sender battery got empty.,
357,BC,CW14_040,M,13,0,,NA,NA,,14,0,,2014,2014_21,37,,GN 56995,Kapunga,0.8,3,2,4,3,3,Yes,12,68.5,28.9,34,5,,CW14_143,CW14_150,WPO,0,Yes,Yes_but_exclude,Lost sender in the nest,14,Censored,"Sender and ring were found on a dam. No sign of predation. Only explanation: OAPU found ring and sender in nest and placed them on the dam, amazing.",Not sure if this explanation fits! Predation most likely cause!
358,BC,CW14_041,F,13,0,,24,1,,24,1,,2014,2014_21,37,,GN 56989,Kapunga,0.4,2,1,4,3,3,Yes,13,82,30,33,0,,CW14_143,CW14_150,WPO,0,Yes,Yes,,24,Dead,"Predation,  predator unknown",
359,BC,CW14_053,F,12,0,,59,0,,59,0,,2014,2014_22,38,"ri 2,3",GN 76620,Kapunga,0.2,1,0,6,5,3,Yes,12,83,29.4,32,0,,CW14_145,CW14_152,WPO,0,Yes,Yes,,59,Censored,Possibly survived but left the area or sender got empty,
360,BC,CW14_054,F,14,0,,109,0,,109,0,,2014,2014_22,38,"ri 1,4",GN 76619,Kapunga,0.6,3,2,6,5,3,Yes,14,82.5,32.8,39,0,,CW14_145,CW14_152,WPO,0,Yes,Yes,,109,Censored,It survived till sender battery got empty.,
361,BC,CW14_055,M,16,0,,85,0,,85,0,,2014,2014_22,38,"le 2,3",GN 76622,Kapunga,0.8,4,3,6,5,3,Yes,15,70.5,28.5,30,0,,CW14_145,CW14_152,WPO,0,Yes,Yes,,85,Censored,It survived till sender battery got empty.,
362,BC,CW14_056,M,7,1,,NA,NA,,7,1,,2014,2014_22,38,"le 1,4",NA,Kapunga,1,5,5,6,5,3,No,NA,NA,NA,NA,NA,,CW14_145,CW14_148,EPO,1,No,No,,7,Dead,Went missing from the nest when it was still too young to fleddge; 7 days old. Possibly predated.,
363,BC,CW14_046,F,15,0,,23,1,,23,1,,2014,2014_23,39,,GN 76601,Kapunga,0.2,1,0,5,3,3,Yes,15,85,30.6,36,0,,CW14_141,BC*59,WPO,0,Yes,Yes,,23,Dead,Predated by a mammal after fledging.,
364,BC,CW14_047,F,14,0,,NA,NA,,14,1,,2014,2014_23,39,,GN 76602,Kapunga,0.4,2,2,5,3,3,Yes,14,77,28.3,31,0,,CW14_141,BC*59,WPO,0,No,Yes,Predated in the nest,14,Dead,Predated by a mammal at the nest before fledging,
365,BC,CW14_048,M,11,0,,NA,NA,,11,1,,2014,2014_23,39,unmarked,NA,Kapunga,0.6,3,4,5,3,3,Yes,11,50.5,22.7,17,0,,CW14_141,BC*59,WPO,0,No,No,,11,Dead,Predated by a mammal at the nest before fledging,
366,BC,CW14_049,F,14,0,,91,0,,91,0,,2014,2014_24,47,,GN 76606,Kapunga,0.2,1,0,4,4,4,Yes,14,77,31.9,45,9,,CW14_146,CW14_151,WPO,0,Yes,Yes,,91,Censored,Most likely survived until end of season but sender battery got empty.,
367,BC,CW14_050,M,13,0,,88,0,,88,0,,2014,2014_24,47,,GN 76607,Kapunga,0.4,2,1,4,4,4,Yes,13,71,31.2,42,9,,CW14_146,CW14_151,WPO,0,Yes,Yes,,88,Censored,Most likely survived until end of season but sender battery got empty.,
368,BC,CW14_051,M,12,0,,15,1,,15,1,,2014,2014_24,47,,GN 76608,Kapunga,0.8,3,2,4,4,4,Yes,12,65,29.6,38,5,,CW14_146,CW14_151,WPO,0,Yes,Yes,,15,Dead,predated by a mammal soon after fledging,
369,BC,CW14_052,F,13,0,,14,1,,14,1,,2014,2014_24,47,,GN 76609,Kapunga,1,4,3,4,4,4,Yes,13,66.5,30.3,45,20,,CW14_146,CW14_149,EPO,1,Yes,Yes,,14,Dead,predated by a mammal soon after fledging,
370,BC,CW14_061,M,12,0,,63,0,,63,0,,2014,2014_25,51,"ri 1,4",GN 76633,Kapunga,0.2,1,0,5,5,1,Yes,12,48,26.8,37,0,,CW14_143,CW14_153,WPO,0,Yes,Yes,,63,Censored,Possibly sender battery was empty. No signal towards end of season.,
371,BC,CW14_062,F,12,1,,NA,NA,,12,1,,2014,2014_25,51,"ri 2,3",GN 76632,Kapunga,0.4,2,0,5,5,1,No,NA,NA,NA,NA,NA,,CW14_143,CW14_153,WPO,0,No,No,,12,Dead,"Predated by a snake, a puff adder at the nest. The predator ate 3 chiks; only one  chick, ""fortunato"" escaped. Siganl of three senders was coming from a termite mound and later all 3 senders were found almost on the same spot, got defeacated, covered with wet feathers, parts of snake skin around",
372,BC,CW14_063,M,11,1,,NA,NA,,11,1,,2014,2014_25,51,"ri 1,2,3,4",NA,Kapunga,1,5,1,5,5,1,No,NA,NA,NA,NA,NA,,CW14_143,CW14_150,EPO,1,No,Yes_but_exclude,Predated in the nest,11,Dead,"Predated by a snake, a puff adder at the nest. The predator ate 3 chiks; only one  chick, ""fortunato"" escaped. Siganl of three senders was coming from a termite mound and later all 3 senders were found almost on the same spot, got defeacated, covered with wet feathers, parts of snake skin around",
373,BC,CW14_064,M,12,1,,NA,NA,,12,1,,2014,2014_25,51,"le 2,3",GN 76634,Kapunga,0.6,3,0,5,5,1,No,NA,NA,NA,NA,NA,,CW14_143,CW14_153,WPO,0,No,Yes_but_exclude,Predated in the nest,12,Dead,"Predated by a snake, a puff adder at the nest. The predator ate 3 chiks; only one  chick, ""fortunato"" escaped. Siganl of three senders was coming from a termite mound and later all 3 senders were found almost on the same spot, got defeacated, covered with wet feathers, parts of snake skin around",
374,BC,CW14_065,M,11,1,,NA,NA,,11,1,,2014,2014_25,51,"le 1,4",GN 76635,Kapunga,0.8,4,1,5,5,1,No,NA,NA,NA,NA,NA,,CW14_143,CW14_153,WPO,0,No,Yes_but_exclude,Predated in the nest,11,Dead,"Predated by a snake, a puff adder at the nest. The predator ate 3 chiks; only one  chick, ""fortunato"" escaped. Siganl of three senders was coming from a termite mound and later all 3 senders were found almost on the same spot, got defeacated, covered with wet feathers, parts of snake skin around",
375,BC,CW14_083,M,16,0,,NA,NA,,13,0,,2014,2014_28,66,"le 1,4",GN 76635,Kapunga,0.2,1,0,5,4,3,Yes,16,37,27.4,48,20,,CW14_135,CW14_134,WPO,0,Yes,No,,13,Censored,Fledged without sender; fledge weight unusually low,Check; fledge weight unusually low
376,BC,CW14_084,M,13,0,,NA,NA,,13,0,,2014,2014_28,66,"ri 1,4",GN 76644,Kapunga,0.4,2,1,5,4,3,Yes,13,41,26,40,0,,CW14_135,CW14_134,WPO,0,Yes,No,,13,Censored,Fledged without sender; fledge weight unusually low,Check; fledge weight unusually low
377,BC,CW14_085,M,14,0,,NA,NA,,13,0,,2014,2014_28,66,"ri 2,3",GN 76649,Kapunga,0.6,3,2,5,4,3,Yes,14,28,23.2,35,10,,CW14_135,CW14_134,WPO,0,Yes,No,,13,Censored,Fledged without sender; fledge weight unusually low,Check; fledge weight unusually low
378,BC,CW14_072,M,5,1,,NA,NA,,5,1,,2014,2014_29,59,"le 2,3",,Kapunga,0.8,3,1,4,3,0,No,NA,NA,NA,NA,NA,,CW14_135,CW14_154,WPO,0,No,No,,5,Dead,"Predation,  predator unknown",
379,BC,CW14_073,F,6,1,,NA,NA,,6,1,,2014,2014_29,59,"ri 1,4",,Kapunga,0.4,2,0,4,3,0,No,NA,NA,NA,NA,NA,,CW14_135,CW14_154,WPO,0,No,No,,6,Dead,"Predation,  predator unknown",
380,BC,CW14_074,M,6,1,,NA,NA,,6,1,,2014,2014_29,59,"ri 2,3",,Kapunga,0.2,1,0,4,3,0,No,NA,NA,NA,NA,NA,,CW14_135,CW14_154,WPO,0,No,No,,6,Dead,"Predation,  predator unknown",
381,BC,CW14_088,M,15,0,,NA,NA,,15,0,,2014,2014_33,70,"ri 1,4",,Kapunga,0.2,1,0,5,5,4,Yes,15,60,29.2,39,18,,CW14_139,CW14_155,EPO,1,Yes,No,,15,Censored,Fledged but did not get sender.,
382,BC,CW14_089,F,13,0,,NA,NA,,13,0,,2014,2014_33,70,"le 1,4",,Kapunga,0.6,3,2,5,5,4,Yes,13,66.5,28.2,33,0,,CW14_139,CW14_157,WPO,0,Yes,No,,13,Censored,Fledged but did not get sender.,
383,BC,CW14_090,F,12,0,,NA,NA,,12,0,,2014,2014_33,70,"ri 2,3",,Kapunga,0.4,2,0,5,5,4,Yes,12,76.5,29.2,28,0,,CW14_139,CW14_157,WPO,0,Yes,No,,12,Censored,Fledged but did not get sender.,
384,BC,CW14_091,M,15,0,,NA,NA,,15,0,,2014,2014_33,70,"le 2,3",,Kapunga,0.8,4,2,5,5,4,Yes,15,65.5,28.2,31,0,,CW14_139,CW14_155,EPO,1,Yes,No,,15,Censored,Fledged but did not get sender.,
385,BC,CW14_086,M,12,1,,NA,NA,,12,1,,2014,2014_34,66,"le 1,4",,Kapunga,0.4,2,2,4,2,0,No,NA,NA,NA,NA,NA,,BC#33,BC*64,WPO,0,No,No,,12,Dead,"Predation,  predator unknown",
386,BC,CW14_087,F,8,1,,NA,NA,,8,1,,2014,2014_34,66,"le 2,3",,Kapunga,0.2,1,0,4,2,0,No,NA,NA,NA,NA,NA,,BC#33,BC*64,WPO,0,No,No,,8,Dead,"Predation,  predator unknown",
387,BC,CW14_075,M,12,0,,NA,NA,,12,0,,2014,2014_35,59,"ri 2,3",GN 76639,Kapunga,0.2,1,0,5,4,4,Yes,12,59,27.2,27,0,,CW14_139,CW14_155,WPO,0,Yes,No,,12,Censored,Fledged before getting sender.,
388,BC,CW14_076,F,15,0,,NA,NA,,15,1,,2014,2014_35,59,"le 2,3",GN 76640,Kapunga,0.6,3,3,5,4,4,Yes,15,78,29.8,41,9,,CW14_139,CW14_155,WPO,0,No,Yes_but_exclude,Predated in the nest,15,Dead,Predated in nest by mammal,
