sn,species,lab_no,sex,pref_age,pref_status,blank_space,postf_age,postf_status,blanck,ageC,statusC,blanck,year,nest_ID,lay_date,Chick_trivial_ID,Ring_ID,site,Relative_hatch_order,hatch_order,age_diff,clutch_size,brood_size,No_fledgelings,Fledged?,Fledge_age,Fledge_mass,Fledge_tarsus,Fledge_FS,Fledge_FSO,blanck,ID_Bio_mom,ID_Bio_dad,paternity_text,paternity,Fledged,got_sender,Excluded_from_sendered,Last_recorded_age_days,Final_status,Details_about_final_status,Issues
24,BC,WG06_108,F,15,0,,NA,NA,,15,0,,2001,2001_11,93,GN 41760 chick RBC,GN 41760,Kapunga,0.6,3,2,6,5,5,Yes,15,76,29.6,34,10,,WG06_017,WG06_150,WPO,0,Yes,No,,15,Censored,,
25,BC,WG06_110,F,15,0,,NA,NA,,15,0,,2001,2001_11,93,GN 41758 chick,GN 41758,Kapunga,0.2,1,0,6,5,5,Yes,15,78,30.8,37,12,,WG06_017,WG06_150,WPO,0,Yes,No,,15,Censored,,
26,BC,WG06_112,M,14,0,,NA,NA,,14,0,,2001,2001_11,93,"li 1, 4 chick gefl. male RBC",GN 41759,Kapunga,0.8,4,3,6,5,5,Yes,14,57,26.8,29,0,,WG06_017,WG06_150,WPO,0,Yes,No,,14,Censored,,
27,BC,WG06_116,M,12,0,,NA,NA,,12,0,,2001,2001_11,93,"re 1, 2, 3, 4 chick male gefl",GN 41764,Kapunga,1,5,7,6,5,5,Yes,12,49,24.5,24,0,,WG06_017,WG06_150,WPO,0,Yes,No,,12,Censored,,
28,BC,WG06_083,M,NA,NA,,NA,NA,,NA,NA,,2001,2001_12NOT,72,chick 1 male D14 unbek.,,Kapunga,NA,NA,NA,NA,NA,NA,Yes,12,56,26.6,27,0,,BC#3,WG06_006,WPO,0,To check; this likely to be skin sample from predated chick of Nst17 found when chicks had already been predtaed!,No,,12,Censored,,
29,BC,WG06_086,M,12,0,,NA,NA,,12,0,,2001,2001_12,72,chick #1 D14 male RBC,GN 41742,Kapunga,1,4,3,4,4,4,Yes,12,56,26.6,27,0,,BC#4,WG06_038,EPO,1,Yes,No,,12,Censored,,
30,BC,WG06_087,F,15,0,,NA,NA,,15,0,,2001,2001_12,72,GN 41736 chick 2 D14 male,GN 41736,Kapunga,0.2,1,0,4,4,4,Yes,15,84,30,35,13,,BC#4,BC*2,WPO,0,Yes,No,,15,Censored,,
31,BC,WG06_088,F,14,0,,NA,NA,,14,0,,2001,2001_12,72,chick 4 unbek. male D14 ,GN 41738,Kapunga,0.8,3,2,4,4,4,Yes,14,82,30,36,7,,BC#4,BC*2,WPO,0,Yes,No,,14,Censored,,
32,BC,WG06_092,F,15,0,,NA,NA,,15,0,,2001,2001_12,72,GN 41737 RBC chick,GN 41737,Kapunga,0.4,2,0,4,4,4,Yes,15,91,29.8,30,10,,BC#4,BC*2,WPO,0,Yes,No,,15,Censored,,
33,BC,WG06_056,M,12,0,,NA,NA,,12,0,,2001,2001_13,89,GN 41749 chick,GN 41749,Kapunga,0.8,3,2,4,4,4,Yes,12,62,27.8,33,0,,WG06_101,WG06_068,WPO,0,Yes,No,,12,Censored,,
34,BC,WG06_096,F,13,0,,NA,NA,,13,0,,2001,2001_13,89,GN 41753 chick RBC!,GN 41753,Kapunga,0.4,2,1,4,4,4,Yes,13,67,30.7,41,15,,WG06_101,WG06_068,WPO,0,Yes,No,,13,Censored,,
